perturbation_id,target_contrast_gene_name,target_contrast,culture_condition,ontarget_effect_size,ontarget_significant,guide_correlation_all,guide_correlation_all_pval,donor_correlation_hits_mean,n_downstream,n_total_de_genes,n_up_genes,n_down_genes,n_cells_target,target_baseMean,_guide_ok,_donor_ok
ENSG00000155111_Rest,CDK19,ENSG00000155111,Rest,-9.329826914550695,True,0.0445789036700472,1.7000705198279037e-06,,5,6,4,2,651.0,15.837392662787536,True,False
ENSG00000155111_Stim48hr,CDK19,ENSG00000155111,Stim48hr,-9.443995251153536,True,0.0398577173864761,1.878667184685952e-05,,7,8,3,5,531.0,22.262349452146005,True,False
ENSG00000123374_Rest,CDK2,ENSG00000123374,Rest,-13.331591490534116,True,0.115028952959804,3.154032185145255e-35,,0,1,0,1,590.0,47.57637142562079,True,False
ENSG00000123374_Stim48hr,CDK2,ENSG00000123374,Stim48hr,-21.88494718232642,True,0.1599197398532624,7.604647847385748e-67,0.8449430586195916,346,347,241,106,598.0,105.29875809058692,True,True
ENSG00000123374_Stim8hr,CDK2,ENSG00000123374,Stim8hr,-12.1990678824926,True,0.1212094458108478,5.936956607644403e-39,0.8715249842796772,57,58,17,41,612.0,36.4355319218225,True,True
ENSG00000101391_Rest,CDK5RAP1,ENSG00000101391,Rest,-16.404572343261794,True,0.046686158054634,5.36886588286481e-07,,1,2,0,2,1580.0,20.143862896451985,True,False
ENSG00000101391_Stim48hr,CDK5RAP1,ENSG00000101391,Stim48hr,-17.3674250662341,True,0.041094187158643,1.0256550270929772e-05,,0,1,0,1,1086.0,37.74423577470815,True,False
ENSG00000101391_Stim8hr,CDK5RAP1,ENSG00000101391,Stim8hr,-19.773963833811063,True,0.0471215391478627,4.2049665566619933e-07,,0,1,0,1,1043.0,36.99494319212591,True,False
ENSG00000136861_Stim48hr,CDK5RAP2,ENSG00000136861,Stim48hr,-23.31566529608177,True,0.0596114392871182,1.5273779121167788e-10,,0,1,0,1,807.0,83.1664559628168,True,False
ENSG00000136861_Stim8hr,CDK5RAP2,ENSG00000136861,Stim8hr,-17.974061704584074,True,0.0678068998045794,3.2223542620880005e-13,,0,1,0,1,748.0,48.79738197915962,True,False
ENSG00000132964_Stim48hr,CDK8,ENSG00000132964,Stim48hr,-17.026445542804,True,0.055768897552249,2.1082625655149444e-09,,0,1,0,1,677.0,55.20155714272025,True,False
ENSG00000132964_Stim8hr,CDK8,ENSG00000132964,Stim8hr,-17.430295305916097,True,0.0648109600831424,3.349909493553436e-12,,3,4,2,2,611.0,54.647393902901975,True,False
ENSG00000145996_Rest,CDKAL1,ENSG00000145996,Rest,-23.49341922704165,True,0.0328489635749441,0.0004219131721553,,9,10,4,6,987.0,57.6126230503627,True,False
ENSG00000145996_Stim48hr,CDKAL1,ENSG00000145996,Stim48hr,-29.6787442718042,True,0.0504776076223703,5.9524948183037674e-08,,7,8,2,6,1140.0,95.37614493450772,True,False
ENSG00000124762_Rest,CDKN1A,ENSG00000124762,Rest,-11.691742719816332,True,0.1277795538035554,3.941286950580692e-43,,0,1,0,1,394.0,96.34971667816764,True,False
ENSG00000124762_Stim8hr,CDKN1A,ENSG00000124762,Stim8hr,-10.575680846176978,True,0.1201158745751142,2.799929882822761e-38,,12,13,7,6,410.0,67.04812231466344,True,False
ENSG00000147889_Rest,CDKN2A,ENSG00000147889,Rest,-12.558337565793032,True,0.0849458625999183,6.719902171266194e-20,,13,14,2,12,713.0,58.928435147724656,True,False
ENSG00000147889_Stim48hr,CDKN2A,ENSG00000147889,Stim48hr,-8.967298696555627,True,0.0698473798197753,6.165916502840369e-14,,0,1,0,1,573.0,22.808313271152365,True,False
ENSG00000147889_Stim8hr,CDKN2A,ENSG00000147889,Stim8hr,-9.69730747947994,True,0.0850370573225395,6.135659916728542e-20,,0,1,0,1,594.0,30.96302438121432,True,False
ENSG00000168564_Rest,CDKN2AIP,ENSG00000168564,Rest,-8.652133904749588,True,0.1492243895107829,2.4087181526240064e-58,0.7699203933496254,112,113,51,62,505.0,15.990850551551372,True,True
ENSG00000168564_Stim48hr,CDKN2AIP,ENSG00000168564,Stim48hr,-8.859799724331738,True,0.1304010652583596,7.340267292486226e-45,0.8959226720670396,119,120,37,83,483.0,17.842865290192137,True,True
ENSG00000168564_Stim8hr,CDKN2AIP,ENSG00000168564,Stim8hr,-8.403342735026484,True,0.0733754123844933,3.1562885081287984e-15,0.7454105485216126,101,102,46,56,478.0,16.201726793109966,True,True
ENSG00000237190_Stim48hr,CDKN2AIPNL,ENSG00000237190,Stim48hr,-18.151785599934296,True,0.0378858581413371,4.762168699573175e-05,,3,4,2,2,786.0,48.3183818805676,True,False
ENSG00000237190_Stim8hr,CDKN2AIPNL,ENSG00000237190,Stim8hr,-16.296365265829824,True,0.0326718562314449,0.0004532525128788,,1,2,1,1,820.0,32.37734986099967,True,False
ENSG00000123080_Rest,CDKN2C,ENSG00000123080,Rest,-7.457091370379216,True,0.0536677981714684,8.250415040937998e-09,,2,3,1,2,635.0,97.94542744679772,True,False
ENSG00000123080_Stim8hr,CDKN2C,ENSG00000123080,Stim8hr,-7.600170294699931,True,0.0540331659361433,6.531233833602163e-09,,1,2,1,1,644.0,35.111645530739644,True,False
ENSG00000100526_Stim48hr,CDKN3,ENSG00000100526,Stim48hr,-18.03635655776196,True,0.0688229354784742,1.4228602602649776e-13,,1,2,1,1,650.0,62.3112704083872,True,False
ENSG00000100526_Stim8hr,CDKN3,ENSG00000100526,Stim8hr,-11.41787662925268,True,0.1388470112797489,1.1142536901111029e-50,,0,1,0,1,679.0,25.42110094513424,True,False
ENSG00000205643_Rest,CDPF1,ENSG00000205643,Rest,-4.220706099924312,True,0.0607054055256012,7.015346185838395e-11,,6,7,4,3,316.0,8.701359879766215,True,False
ENSG00000140743_Rest,CDR2,ENSG00000140743,Rest,-20.26292701743756,True,0.0724063773362549,7.243124558492343e-15,,0,1,0,1,747.0,73.99205963942453,True,False
ENSG00000140743_Stim48hr,CDR2,ENSG00000140743,Stim48hr,-22.08451096226933,True,0.0616457132704417,3.555295766178758e-11,,0,1,0,1,780.0,88.22194707581217,True,False
ENSG00000140743_Stim8hr,CDR2,ENSG00000140743,Stim8hr,-22.68044626949076,True,0.0335694434375705,0.0003141269813191,,1,2,1,1,675.0,95.65955126346324,True,False
ENSG00000091527_Rest,CDV3,ENSG00000091527,Rest,-15.732193254875844,True,0.0891759513876539,8.928359753405789e-22,,3,4,3,1,499.0,65.58470602173443,True,False
ENSG00000091527_Stim48hr,CDV3,ENSG00000091527,Stim48hr,-16.657431219963588,True,0.1138164213240214,1.6088135347249492e-34,,0,1,0,1,508.0,84.7532065464245,True,False
ENSG00000091527_Stim8hr,CDV3,ENSG00000091527,Stim8hr,-24.786425364974804,True,0.049361104229072,1.1568500882595508e-07,,3,4,2,2,479.0,150.4828764362889,True,False
ENSG00000153046_Stim48hr,CDYL,ENSG00000153046,Stim48hr,-5.314761175562501,True,,,0.6055783620143279,64,65,56,9,146.0,33.033905921520784,False,True
ENSG00000153046_Stim8hr,CDYL,ENSG00000153046,Stim8hr,-7.170576320006643,True,,,0.5594320953453283,37,38,34,4,192.0,36.39620737168459,False,True
ENSG00000166446_Rest,CDYL2,ENSG00000166446,Rest,-10.71464876476138,True,0.0528053711123468,1.4236784465667476e-08,,1,2,0,2,1015.0,19.61086416459789,True,False
ENSG00000166446_Stim48hr,CDYL2,ENSG00000166446,Stim48hr,-11.82894877277671,True,0.120787397619194,1.0820818409528875e-38,,0,1,0,1,889.0,31.76227552996993,True,False
ENSG00000166446_Stim8hr,CDYL2,ENSG00000166446,Stim8hr,-11.97006415822933,True,0.0604714808435617,8.294693038761816e-11,,2,3,1,2,921.0,30.38675081012652,True,False
ENSG00000079385_Rest,CEACAM1,ENSG00000079385,Rest,-4.959603602718704,True,0.0254464397921624,0.0063121930054079,,6,7,2,5,675.0,10.681890988737836,True,False
ENSG00000007129_Stim48hr,CEACAM21,ENSG00000007129,Stim48hr,-5.675967374958256,True,0.0930470042023643,1.425458349149673e-23,,3,4,1,3,535.0,9.274174039838732,True,False
ENSG00000007129_Stim8hr,CEACAM21,ENSG00000007129,Stim8hr,-5.042776506696152,True,0.081033472095496,3.0373521603546228e-18,,0,1,0,1,501.0,6.319360632348121,True,False
ENSG00000172216_Stim48hr,CEBPB,ENSG00000172216,Stim48hr,-11.953326124602428,True,0.0867730198854876,1.0663404641006536e-20,,12,13,2,11,923.0,46.8539146661736,True,False
ENSG00000149187_Rest,CELF1,ENSG00000149187,Rest,-39.481967029663,True,0.0746596535422494,1.0323700021368574e-15,,0,1,0,1,1980.0,97.48487515049416,True,False
ENSG00000149187_Stim48hr,CELF1,ENSG00000149187,Stim48hr,-44.50401477785021,True,0.0508711870360721,4.6937231280839554e-08,,11,12,7,5,2241.0,163.69125980521736,True,False
ENSG00000149187_Stim8hr,CELF1,ENSG00000149187,Stim8hr,-51.47421271190933,True,0.0705459378340588,3.462214988998258e-14,,3,4,3,1,1812.0,164.89114527798768,True,False
ENSG00000048740_Rest,CELF2,ENSG00000048740,Rest,-27.50033787081427,True,0.1292824072686205,4.0579767900619483e-44,,27,28,14,14,1027.0,287.9956336197482,True,False
ENSG00000048740_Stim48hr,CELF2,ENSG00000048740,Stim48hr,-32.7631438216776,True,0.1108568179825347,7.97727755292646e-33,,19,20,11,9,1100.0,330.77605398254707,True,False
ENSG00000048740_Stim8hr,CELF2,ENSG00000048740,Stim8hr,-18.856358253845453,True,0.1003593159413862,3.5619572660407306e-27,,27,28,16,12,1032.0,283.3984444908146,True,False
ENSG00000135048_Rest,CEMIP2,ENSG00000135048,Rest,-11.152532912907532,True,0.1616977142407181,2.5609299445772603e-68,,0,1,0,1,669.0,35.34067476369769,True,False
ENSG00000135048_Stim48hr,CEMIP2,ENSG00000135048,Stim48hr,-14.6307205861081,True,0.1091188420641891,7.522570475196819e-32,,1,2,0,2,563.0,66.27014657898464,True,False
ENSG00000135048_Stim8hr,CEMIP2,ENSG00000135048,Stim8hr,-13.035525164742392,True,0.0743747935658581,1.3249616316078534e-15,,1,2,0,2,534.0,51.2558009322511,True,False
ENSG00000125817_Rest,CENPB,ENSG00000125817,Rest,-11.4258811694555,True,0.0599871996924857,1.1709866905839188e-10,,0,1,0,1,258.0,55.70408776844595,True,False
ENSG00000125817_Stim48hr,CENPB,ENSG00000125817,Stim48hr,-12.124951861592118,True,0.031004492007659,0.0008750287428544,,3,4,3,1,284.0,56.35162659932302,True,False
ENSG00000125817_Stim8hr,CENPB,ENSG00000125817,Stim8hr,-13.59151719290892,True,0.068710066184976,1.5590281224832654e-13,,2,3,2,1,257.0,75.58047037175598,True,False
ENSG00000138778_Stim48hr,CENPE,ENSG00000138778,Stim48hr,-5.538392817693761,True,,,0.3780933233959281,70,71,33,38,53.0,102.14346843579268,False,True
ENSG00000138778_Stim8hr,CENPE,ENSG00000138778,Stim8hr,-3.544505358449988,True,,,0.4890821556845772,71,72,27,45,58.0,42.02145858601364,False,True
ENSG00000117724_Rest,CENPF,ENSG00000117724,Rest,-17.606060280460355,True,0.1184396138183793,2.934817007195578e-37,,0,1,0,1,603.0,148.72572501612962,True,False
ENSG00000117724_Stim48hr,CENPF,ENSG00000117724,Stim48hr,-25.74911728347148,True,0.1577694127996569,4.359477851184752e-65,,2,3,1,2,628.0,188.26290743721344,True,False
ENSG00000117724_Stim8hr,CENPF,ENSG00000117724,Stim8hr,-14.2928122846339,True,0.1242247382394248,7.657344156335156e-41,,0,1,0,1,541.0,84.27794775041845,True,False
ENSG00000166582_Rest,CENPV,ENSG00000166582,Rest,-4.358457663916443,True,0.0951789347027992,1.3547280409465195e-24,,20,21,20,1,610.0,9.383847434123403,True,False
ENSG00000166582_Stim48hr,CENPV,ENSG00000166582,Stim48hr,-10.777775590138406,True,0.1106786273064879,1.005738908095442e-32,,5,6,5,1,605.0,61.098068823385546,True,False
ENSG00000166582_Stim8hr,CENPV,ENSG00000166582,Stim8hr,-10.195938921451509,True,0.1229642717882217,4.782850222241514e-40,,9,10,8,2,569.0,52.478711146506456,True,False
ENSG00000116198_Rest,CEP104,ENSG00000116198,Rest,-10.032066337716133,True,,,0.827648437540363,57,58,31,27,398.0,25.6149027970366,False,True
ENSG00000168944_Stim48hr,CEP120,ENSG00000168944,Stim48hr,-10.701165629461666,True,0.0995135785790684,9.600192790287756e-27,,3,4,3,1,204.0,72.4898825341267,True,False
ENSG00000100629_Rest,CEP128,ENSG00000100629,Rest,-14.117341437452875,True,0.0397067220113871,2.020429533995602e-05,,0,1,0,1,1291.0,33.900979184850456,True,False
ENSG00000100629_Stim8hr,CEP128,ENSG00000100629,Stim8hr,-13.3077138475687,True,0.0197861903362135,0.0337145007767268,,1,2,0,2,1170.0,19.709058756377942,True,False
ENSG00000141577_Rest,CEP131,ENSG00000141577,Rest,-8.282290794239819,True,0.0910013787481041,1.2970265621861986e-22,,1,2,0,2,1027.0,7.368923651566143,True,False
ENSG00000141577_Stim48hr,CEP131,ENSG00000141577,Stim48hr,-7.217965171059436,True,0.1361434639638974,8.920624641985049e-49,,1,2,0,2,806.0,7.804709196195073,True,False
ENSG00000141577_Stim8hr,CEP131,ENSG00000141577,Stim8hr,-8.850574754483219,True,0.0737597323550787,2.2636059620610037e-15,,1,2,0,2,811.0,10.609640892674514,True,False
ENSG00000174799_Stim48hr,CEP135,ENSG00000174799,Stim48hr,-7.001658404976221,True,,,0.8187180794778556,124,125,55,70,306.0,28.48248916527142,False,True
ENSG00000174799_Stim8hr,CEP135,ENSG00000174799,Stim8hr,-9.882177221823335,True,,,0.8370739642140997,37,38,27,11,347.0,36.70144652215916,False,True
ENSG00000135315_Rest,CEP162,ENSG00000135315,Rest,-7.700859447826606,True,0.0359901381544077,0.0001118361828957,,0,1,0,1,648.0,10.572198245812892,True,False
ENSG00000135315_Stim48hr,CEP162,ENSG00000135315,Stim48hr,-6.777687501574023,True,0.046402403299545,6.288514183486846e-07,,0,1,0,1,727.0,7.121370601073372,True,False
ENSG00000135315_Stim8hr,CEP162,ENSG00000135315,Stim8hr,-6.048943237267538,True,0.112114933034333,1.5370687502083172e-33,,4,5,3,2,662.0,6.235946458651168,True,False
ENSG00000110274_Rest,CEP164,ENSG00000110274,Rest,-8.852006765070524,True,0.0401357344068273,1.6420681034688535e-05,,2,3,1,2,495.0,17.81730313783228,True,False
ENSG00000110274_Stim48hr,CEP164,ENSG00000110274,Stim48hr,-6.77341204853439,True,0.0900666760706511,3.4999756158326857e-22,,0,1,0,1,362.0,14.70038095755532,True,False
ENSG00000126001_Stim48hr,CEP250,ENSG00000126001,Stim48hr,-11.23902307136502,True,0.1100805479895736,2.1829570542665383e-32,,0,1,0,1,509.0,30.62812906335225,True,False
ENSG00000126001_Stim8hr,CEP250,ENSG00000126001,Stim8hr,-6.50094086445873,True,0.0496224167705767,9.914786661523833e-08,,0,1,0,1,393.0,15.588821374231154,True,False
ENSG00000135837_Rest,CEP350,ENSG00000135837,Rest,-6.210485977401381,True,,,0.5552000730834307,38,39,36,3,102.0,64.39894556161138,False,True
ENSG00000135837_Stim48hr,CEP350,ENSG00000135837,Stim48hr,-7.399546318821023,True,,,0.7086968029550493,45,46,32,14,192.0,78.18285469254336,False,True
