rank,gene,condition,n_suppress_effector,suppress_sum_absz,suppress_max_absz,suppress_cytokines,n_boost,boost_sum_absz,boost_max_absz,boost_cytokines
436.0,ATG14,Stim48hr,2,6.129,3.319,"CSF2,IL2RA",0,,,
437.0,ARNT,Stim48hr,2,6.054,3.433,"IL22,IL2RA",2,5.079000000000001,2.705,"CTLA4,IL10"
438.0,ACTR8,Stim48hr,2,6.0120000000000005,3.247,"IL13,IL4",2,7.025,3.623,"CTLA4,TNF"
439.0,YY1,Stim8hr,2,5.895,3.093,"IL22,IL4",1,2.886,2.886,IL2
440.0,ATF4,Stim8hr,2,5.893,3.215,"IL13,IL5",4,16.572,4.824,"CSF2,IFNG,IL2,TNF"
441.0,PITRM1,Stim48hr,2,5.8919999999999995,3.371,"IL4,IL5",0,,,
442.0,SIN3B,Stim48hr,2,5.862,3.167,"IL22,IL3",1,2.446,2.446,IL2
443.0,SCAF4,Stim48hr,2,5.83,3.033,"IFNG,IL22",0,,,
444.0,RNFT2,Stim48hr,2,5.804,3.332,"IL22,IL2RA",1,2.791,2.791,IL13
445.0,GABPB1,Stim48hr,2,5.779999999999999,2.929,"IL2,IL22",0,,,
446.0,EIF4G1,Stim8hr,2,5.779,3.141,"IL13,IL22",6,23.43,6.321,"CSF2,IFNG,IL2,IL21,IL3,TNF"
447.0,PRKAR1A,Rest,2,5.771,3.121,"IFNG,LTA",1,7.658,7.658,IL2RA
448.0,CARS2,Stim48hr,2,5.751,3.24,"IL3,IL4",0,,,
449.0,SMG1,Stim48hr,2,5.74,2.941,"IL3,IL5",0,,,
450.0,CCDC12,Stim8hr,2,5.721,2.972,"IL4,TNF",0,,,
451.0,NAA30,Stim8hr,2,5.715,3.135,"IL2,IL3",0,,,
452.0,PTCD2,Stim48hr,2,5.6899999999999995,2.976,"IL22,IL3",0,,,
453.0,BRPF1,Rest,2,5.677,2.84,"IL2RA,LTA",0,,,
454.0,WDR82,Stim8hr,2,5.664,2.981,"CSF2,IL5",1,2.391,2.391,LTA
455.0,KTI12,Stim8hr,2,5.659,2.893,"IL13,IL5",0,,,
456.0,KMT2E,Stim48hr,2,5.609999999999999,3.028,"IL2,IL5",0,,,
457.0,NDUFAF3,Stim48hr,2,5.522,2.828,"IL2,IL4",1,2.884,2.884,IL10
458.0,USP22,Stim8hr,2,5.4719999999999995,2.798,"IL2,IL3",1,2.769,2.769,IL2RA
459.0,SMARCE1,Rest,2,5.468,2.815,"LTA,TNF",1,2.384,2.384,IL2RA
460.0,DPH5,Stim48hr,2,5.458,2.82,"CSF2,IL5",1,5.959,5.959,IL2RA
