gene,ensg,n_directions,biotype,protein_class,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,n_assoc_diseases,chembl_pref_name,chembl_target_id
GSS,ENSG00000100983,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,278,Glutathione synthetase,CHEMBL6066521
GTF2H5,ENSG00000272047,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,94,,
HMBS,ENSG00000256269,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,2087,Porphobilinogen deaminase,CHEMBL3988601
IBA57,ENSG00000181873,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,58,,
IL7R,ENSG00000168685,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,872,,
INO80B,ENSG00000115274,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,15,,
IST1,ENSG00000182149,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,191,,
KDM8,ENSG00000155666,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,377,Bifunctional peptidase and arginyl-hydroxylase JMJD5,CHEMBL4523396
KMT2E,ENSG00000005483,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,321,Inactive histone-lysine N-methyltransferase 2E,CHEMBL4523393
KTN1,ENSG00000126777,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,220,Kinectin,CHEMBL6066522
LETM2,ENSG00000165046,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,51,,
LIG3,ENSG00000005156,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,157,DNA ligase 3,CHEMBL4295773
LIN7C,ENSG00000148943,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,664,,
LMTK2,ENSG00000164715,2,protein_coding,SINGLE PROTEIN,True,True,Druggable Family,False,0,,True,194,Serine/threonine-protein kinase LMTK2,CHEMBL6067300
LRPPRC,ENSG00000138095,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,243,"Leucine-rich PPR motif-containing protein, mitochondrial",CHEMBL4295762
MAX,ENSG00000125952,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,380,Protein max,CHEMBL1250363
ME3,ENSG00000151376,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,797,"NADP-dependent malic enzyme, mitochondrial",CHEMBL6182
MED1,ENSG00000125686,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,784,Mediator of RNA polymerase II transcription subunit 1,CHEMBL5724624
MED15,ENSG00000099917,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,116,,
