gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
CTU1,ENSG00000142544,1,False,False,True,False
CUEDC2,ENSG00000107874,1,True,False,False,False
CUL3,ENSG00000036257,1,True,False,False,False
CUL4A,ENSG00000139842,1,False,False,True,False
CUL5,ENSG00000166266,1,False,False,True,False
CXXC1,ENSG00000154832,2,True,True,False,False
CYB5R4,ENSG00000065615,3,True,True,False,True
CYB5RL,ENSG00000215883,1,False,False,True,False
CYC1,ENSG00000179091,1,True,False,False,False
CYCS,ENSG00000172115,2,True,False,True,False
DAP,ENSG00000112977,1,False,False,True,False
DAPK2,ENSG00000035664,1,False,False,True,False
DARS1,ENSG00000115866,1,True,False,False,False
DCAF4,ENSG00000119599,1,False,False,True,False
DCK,ENSG00000156136,2,True,False,True,False
DCP2,ENSG00000172795,1,True,False,False,False
DDIT4,ENSG00000168209,1,False,False,True,False
DDX1,ENSG00000079785,1,True,False,False,False
DDX17,ENSG00000100201,1,True,False,False,False
DDX31,ENSG00000125485,1,False,False,True,False
DDX39B,ENSG00000198563,2,False,True,True,False
DDX42,ENSG00000198231,1,False,False,True,False
DDX6,ENSG00000110367,1,True,False,False,False
DEF6,ENSG00000023892,1,False,False,True,False
DENR,ENSG00000139726,2,True,False,False,True
DGKZ,ENSG00000149091,1,False,False,True,False
DHPS,ENSG00000095059,1,True,False,False,False
DHX30,ENSG00000132153,2,True,False,True,False
DHX36,ENSG00000174953,2,True,False,False,True
DHX9,ENSG00000135829,1,True,False,False,False
DIS3L,ENSG00000166938,2,True,False,True,False
DLAT,ENSG00000150768,2,True,False,True,False
DMAC1,ENSG00000137038,1,False,False,True,False
DMXL1,ENSG00000172869,1,False,False,True,False
DNAAF2,ENSG00000165506,2,True,False,True,False
DNAAF5,ENSG00000164818,1,False,False,True,False
DNAJC24,ENSG00000170946,1,True,False,False,False
DNTTIP1,ENSG00000101457,2,True,False,False,True
DOCK2,ENSG00000134516,1,True,False,False,False
DOHH,ENSG00000129932,2,True,False,False,True
DOLPP1,ENSG00000167130,2,True,False,False,True
DOP1B,ENSG00000142197,2,True,False,False,True
DPH1,ENSG00000108963,1,True,False,False,False
DPH5,ENSG00000117543,2,True,True,False,False
DPH6,ENSG00000134146,1,True,False,False,False
DPM2,ENSG00000136908,1,False,False,True,False
DPY19L3,ENSG00000178904,1,False,False,True,False
DR1,ENSG00000117505,1,True,False,False,False
DUSP4,ENSG00000120875,1,False,False,True,False
E2F4,ENSG00000205250,2,False,True,True,False
ECI2,ENSG00000198721,1,False,False,True,False
ECSIT,ENSG00000130159,2,True,False,True,False
EDC3,ENSG00000179151,1,False,False,True,False
EFR3A,ENSG00000132294,2,True,False,False,True
EGLN1,ENSG00000135766,1,False,False,True,False
EGR2,ENSG00000122877,2,True,False,True,False
EGR3,ENSG00000179388,1,False,False,True,False
EHBP1,ENSG00000115504,1,False,False,True,False
EHMT2,ENSG00000204371,1,True,False,False,False
EID2,ENSG00000176396,1,False,False,True,False
EIF2AK1,ENSG00000086232,1,False,False,True,False
EIF3H,ENSG00000147677,1,True,False,False,False
EIF3J,ENSG00000104131,1,True,False,False,False
EIF4A1,ENSG00000161960,1,True,False,False,False
EIF4G1,ENSG00000114867,3,True,True,False,True
EIF4G2,ENSG00000110321,2,True,False,False,True
ELAVL1,ENSG00000066044,2,True,False,False,True
ELOB,ENSG00000103363,3,True,True,False,True
ELOC,ENSG00000154582,1,False,True,False,False
ELP1,ENSG00000070061,1,True,False,False,False
ELP3,ENSG00000134014,1,True,False,False,False
ELP4,ENSG00000109911,1,False,False,True,False
ELP5,ENSG00000170291,1,True,False,False,False
ELP6,ENSG00000163832,1,False,True,False,False
EMB,ENSG00000170571,1,False,False,True,False
EMC2,ENSG00000104412,3,True,True,True,False
EMC4,ENSG00000128463,1,True,False,False,False
EMG1,ENSG00000126749,1,True,False,False,False
EML2,ENSG00000125746,1,True,False,False,False
ENO1,ENSG00000074800,2,True,False,True,False
ENTR1,ENSG00000165689,1,True,False,False,False
EPB41L3,ENSG00000082397,2,True,False,True,False
ERCC1,ENSG00000012061,1,True,False,False,False
ERCC4,ENSG00000175595,1,True,False,False,False
EXOC1,ENSG00000090989,1,True,False,False,False
