gene,target_ensg,condition,n_downstream_Rest,n_downstream_Stim8hr,n_downstream_Stim48hr,n_total_de_Rest,n_total_de_Stim8hr,n_total_de_Stim48hr,n_sig_markers_Rest,n_sig_markers_Stim8hr,n_sig_markers_Stim48hr,stim_max_downstream,class,context_specificity_score,present_conditions,prog_zscore_at_op,top_sig_marker_at_op,therapeutic_direction
MRM2,ENSG00000122687,Stim48hr,1,1,38,2,2,39,0,0,0,38,late-activation,0.925,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
PRORP,ENSG00000100890,Stim48hr,4,5,114,5,6,115,0,0,1,114,late-activation,0.9244,"Rest,Stim8hr,Stim48hr",-3.45,IL3-,inhibit; late-activation-specific
TOMM70,ENSG00000154174,Stim48hr,2,3,59,3,4,60,0,0,3,59,late-activation,0.9194,"Rest,Stim8hr,Stim48hr",-4.138,LTA-,inhibit; late-activation-specific
MITD1,ENSG00000158411,Stim48hr,10,0,249,11,1,250,3,0,3,249,late-activation,0.9192,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
COA6,ENSG00000168275,Stim48hr,4,9,105,5,10,106,0,0,1,105,late-activation,0.9182,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
GAS2L1,ENSG00000185340,Stim48hr,19,0,456,20,0,457,0,0,7,456,late-activation,0.9181,"Rest,Stim48hr",-0.754,BCL6+,inhibit; late-activation-specific
KNOP1,ENSG00000103550,Stim48hr,1,5,34,2,6,35,0,0,1,34,late-activation,0.9167,"Rest,Stim8hr,Stim48hr",-3.834,IL2-,inhibit; late-activation-specific
BICDL1,ENSG00000135127,Stim48hr,3,3,78,4,4,79,0,0,0,78,late-activation,0.9146,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
RCC1L,ENSG00000274523,Stim48hr,57,1,1166,58,2,1167,0,0,6,1166,late-activation,0.906,"Rest,Stim8hr,Stim48hr",-1.401,GATA3-,inhibit; late-activation-specific
ACSL1,ENSG00000151726,Stim48hr,5,15,109,6,16,110,0,0,1,109,late-activation,0.9043,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
ZNF622,ENSG00000173545,Stim48hr,3,21,67,4,22,68,0,3,1,67,late-activation,0.9014,"Rest,Stim8hr,Stim48hr",-4.043,IL13-,inhibit; late-activation-specific
NXT1,ENSG00000132661,Stim48hr,5,4,101,6,5,102,0,0,4,101,late-activation,0.8972,"Rest,Stim8hr,Stim48hr",-3.836,IL13-,inhibit; late-activation-specific
NDUFV1,ENSG00000167792,Stim48hr,2,9,44,3,10,45,0,0,0,44,late-activation,0.8936,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
CUL4A,ENSG00000139842,Stim48hr,6,12,102,7,13,103,0,2,0,102,late-activation,0.8807,"Rest,Stim8hr,Stim48hr",5.223,IL2RA+,inhibit; late-activation-specific
NDUFS7,ENSG00000115286,Stim48hr,3,13,53,4,14,54,0,0,0,53,late-activation,0.8772,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
RBIS,ENSG00000176731,Stim48hr,1,7,22,2,8,23,0,0,1,22,late-activation,0.875,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
DDX39B,ENSG00000198563,Stim48hr,6,0,92,7,0,93,0,0,2,92,late-activation,0.8687,"Rest,Stim48hr",-3.19,CCL4-,inhibit; late-activation-specific
SREBF2,ENSG00000198911,Stim48hr,6,11,92,7,12,93,0,0,2,92,late-activation,0.8687,"Rest,Stim8hr,Stim48hr",-3.835,CCL4-,inhibit; late-activation-specific
NDUFAF6,ENSG00000156170,Stim48hr,4,0,62,5,1,63,0,0,0,62,late-activation,0.8657,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
PLEC,ENSG00000178209,Stim48hr,3,4,48,4,5,49,0,0,1,48,late-activation,0.8654,"Rest,Stim8hr,Stim48hr",-3.592,IL22-,inhibit; late-activation-specific
CCDC134,ENSG00000100147,Stim48hr,8,31,111,9,32,112,2,1,7,111,late-activation,0.8583,"Rest,Stim8hr,Stim48hr",4.099,IL3+,inhibit; late-activation-specific
HTT,ENSG00000197386,Stim48hr,10,5,133,11,6,134,0,0,0,133,late-activation,0.8542,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
NDUFB6,ENSG00000165264,Stim48hr,12,2,152,13,3,153,2,0,1,152,late-activation,0.8485,"Rest,Stim8hr,Stim48hr",3.049,TNFRSF9+,inhibit; late-activation-specific
PRMT9,ENSG00000164169,Stim48hr,2,5,30,3,6,31,0,0,0,30,late-activation,0.8485,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
H1-4,ENSG00000168298,Stim48hr,3,4,40,4,5,41,0,0,0,40,late-activation,0.8409,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
SET,ENSG00000119335,Stim48hr,8,7,91,9,8,92,0,0,0,91,late-activation,0.83,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
PABIR3,ENSG00000156500,Stim48hr,2,3,26,3,4,27,0,0,0,26,late-activation,0.8276,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
RAB21,ENSG00000080371,Stim48hr,12,8,127,13,9,128,0,0,2,127,late-activation,0.8214,"Rest,Stim8hr,Stim48hr",-3.684,TNFRSF4-,inhibit; late-activation-specific
ATF7IP,ENSG00000171681,Stim48hr,7,5,73,8,6,74,0,0,0,73,late-activation,0.8148,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
GTSE1,ENSG00000075218,Stim48hr,2,1,24,3,2,25,0,0,0,24,late-activation,0.8148,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
LAMTOR5,ENSG00000134248,Stim48hr,35,0,345,36,0,346,1,0,3,345,late-activation,0.8136,"Rest,Stim48hr",,,inhibit; late-activation-specific
NDUFB4,ENSG00000065518,Stim48hr,23,7,228,24,8,229,0,0,2,228,late-activation,0.8135,"Rest,Stim8hr,Stim48hr",-2.947,CCL4-,inhibit; late-activation-specific
TESK2,ENSG00000070759,Stim48hr,8,6,70,9,7,71,1,0,6,70,late-activation,0.7848,"Rest,Stim8hr,Stim48hr",-4.02,IL4-,inhibit; late-activation-specific
NDUFS3,ENSG00000213619,Stim48hr,2,1,20,3,2,21,0,0,0,20,late-activation,0.7826,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
DDB2,ENSG00000134574,Stim48hr,3,3,28,4,4,29,0,0,0,28,late-activation,0.7812,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
NDUFS2,ENSG00000158864,Stim48hr,11,1,92,12,2,93,0,0,2,92,late-activation,0.7788,"Rest,Stim8hr,Stim48hr",-3.785,TBX21-,inhibit; late-activation-specific
PTPN11,ENSG00000179295,Stim48hr,7,3,59,8,4,60,2,0,0,59,late-activation,0.7761,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
EDF1,ENSG00000107223,Stim48hr,8,10,63,9,11,64,0,0,0,63,late-activation,0.7639,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
PALS1,ENSG00000072415,Stim48hr,5,0,40,6,0,41,0,0,0,40,late-activation,0.7609,"Rest,Stim48hr",,,inhibit; late-activation-specific
ZFP64,ENSG00000020256,Stim48hr,3,7,25,4,8,26,0,0,0,25,late-activation,0.7586,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
RMDN3,ENSG00000137824,Stim48hr,11,1,82,12,2,83,3,0,0,82,late-activation,0.7553,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
MCAT,ENSG00000100294,Stim48hr,112,1,779,113,2,780,0,0,3,779,late-activation,0.7478,"Rest,Stim8hr,Stim48hr",-1.201,MYC-,inhibit; late-activation-specific
TPRG1L,ENSG00000158109,Stim48hr,8,6,58,9,7,59,1,0,1,58,late-activation,0.7463,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
MICOS10,ENSG00000173436,Stim48hr,67,0,460,68,0,461,1,0,3,460,late-activation,0.7443,"Rest,Stim48hr",-3.296,MKI67-,inhibit; late-activation-specific
PITPNB,ENSG00000180957,Stim48hr,3,1,21,4,2,22,0,0,1,21,late-activation,0.72,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
EPG5,ENSG00000152223,Stim48hr,7,6,44,8,7,45,0,0,0,44,late-activation,0.7115,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
SPTLC2,ENSG00000100596,Stim48hr,42,0,231,43,0,232,3,0,3,231,late-activation,0.6898,"Rest,Stim48hr",1.104,CD69+,inhibit; late-activation-specific
CCDC22,ENSG00000101997,Stim48hr,115,0,618,116,1,619,0,0,4,618,late-activation,0.6853,"Rest,Stim8hr,Stim48hr",-0.002,STAT3+,inhibit; late-activation-specific
MKRN2,ENSG00000075975,Stim48hr,7,3,39,8,4,40,0,0,0,39,late-activation,0.6809,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
COMMD8,ENSG00000169019,Stim48hr,56,5,283,57,6,284,0,0,2,283,late-activation,0.6676,"Rest,Stim8hr,Stim48hr",-3.81,IL4-,inhibit; late-activation-specific
ATP13A3,ENSG00000133657,Stim48hr,7,9,36,8,10,37,0,0,0,36,late-activation,0.6591,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
FDFT1,ENSG00000079459,Stim48hr,6,0,28,7,1,29,0,0,0,28,late-activation,0.6286,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
PIK3CD,ENSG00000171608,Stim48hr,7,3,32,8,4,33,1,0,1,32,late-activation,0.625,"Rest,Stim8hr,Stim48hr",-3.299,LTA-,inhibit; late-activation-specific
MSI2,ENSG00000153944,Stim48hr,5,5,22,6,6,23,0,0,1,22,late-activation,0.6071,"Rest,Stim8hr,Stim48hr",3.866,TNF+,inhibit; late-activation-specific
REEP3,ENSG00000165476,Stim48hr,7,0,30,8,0,31,1,0,0,30,late-activation,0.6053,"Rest,Stim48hr",,,inhibit; late-activation-specific
SAP30,ENSG00000164105,Stim48hr,39,8,152,40,9,153,0,0,1,152,late-activation,0.5885,"Rest,Stim8hr,Stim48hr",-3.411,IL2-,inhibit; late-activation-specific
HELLS,ENSG00000119969,Stim48hr,7,2,27,8,3,28,0,0,0,27,late-activation,0.5714,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
ACSL3,ENSG00000123983,Stim48hr,15,4,53,16,5,54,0,0,0,53,late-activation,0.5507,"Rest,Stim8hr,Stim48hr",,,inhibit; late-activation-specific
ZBTB33,ENSG00000177485,Stim48hr,16,0,55,17,0,56,0,0,0,55,late-activation,0.5417,"Rest,Stim48hr",,,inhibit; late-activation-specific
MFSD11,ENSG00000092931,Stim48hr,7,5,23,8,6,24,1,1,1,23,late-activation,0.5161,"Rest,Stim8hr,Stim48hr",4.069,TIGIT+,inhibit; late-activation-specific
COMMD4,ENSG00000140365,Stim48hr,35,7,110,36,8,111,0,0,2,110,late-activation,0.5137,"Rest,Stim8hr,Stim48hr",-3.857,IL3-,inhibit; late-activation-specific
ZBTB45,ENSG00000119574,Stim48hr,8,2,25,9,3,26,0,0,3,25,late-activation,0.5,"Rest,Stim8hr,Stim48hr",4.226,IFNG+,inhibit; late-activation-specific
ACLY,ENSG00000131473,Stim48hr,12,1320,2431,13,1321,2432,0,5,18,2431,constitutive,0.9898,"Rest,Stim8hr,Stim48hr",-2.418,CD40LG-,inhibit; constitutive
IBA57,ENSG00000181873,Stim48hr,12,139,918,13,140,919,0,1,8,918,constitutive,0.9731,"Rest,Stim8hr,Stim48hr",-1.322,TNFRSF18+,inhibit; constitutive
VAV1,ENSG00000141968,Stim8hr,69,4897,3574,70,4898,3575,4,31,29,4897,constitutive,0.972,"Rest,Stim8hr,Stim48hr",-3.695,STAT1+,inhibit; constitutive
ZAP70,ENSG00000115085,Stim8hr,82,5021,2485,83,5022,2486,0,34,21,5021,constitutive,0.9677,"Rest,Stim8hr,Stim48hr",-5.212,IL2RA-,inhibit; constitutive
PTPRC,ENSG00000081237,Stim48hr,54,2254,3225,55,2255,3226,1,19,19,3225,constitutive,0.9668,"Rest,Stim8hr,Stim48hr",1.72,HAVCR2+,inhibit; constitutive
RIDA,ENSG00000132541,Stim48hr,11,372,553,12,373,554,0,4,12,553,constitutive,0.9593,"Rest,Stim8hr,Stim48hr",1.197,IFNG+,inhibit; constitutive
POLG2,ENSG00000256525,Stim48hr,13,49,615,14,50,616,0,1,7,615,constitutive,0.9571,"Rest,Stim8hr,Stim48hr",0.338,IL4R+,inhibit; constitutive
POLG,ENSG00000140521,Stim48hr,39,265,1600,40,266,1601,0,1,13,1600,constitutive,0.9518,"Rest,Stim8hr,Stim48hr",-1.1,STAT3+,inhibit; constitutive
UBE2V2,ENSG00000169139,Stim48hr,42,31,1443,43,32,1444,3,1,5,1443,constitutive,0.9428,"Rest,Stim8hr,Stim48hr",-0.485,HAVCR2-,inhibit; constitutive
PKM,ENSG00000067225,Stim8hr,56,1840,201,57,1841,202,1,24,4,1840,constitutive,0.9404,"Rest,Stim8hr,Stim48hr",-3.079,BCL6+,inhibit; constitutive
IMPDH2,ENSG00000178035,Stim48hr,32,526,1054,33,527,1055,1,7,10,1054,constitutive,0.9402,"Rest,Stim8hr,Stim48hr",0.764,IKZF1+,inhibit; constitutive
RAC2,ENSG00000128340,Stim48hr,34,120,1094,35,121,1095,0,1,9,1094,constitutive,0.9389,"Rest,Stim8hr,Stim48hr",-0.03,IL4R+,inhibit; constitutive
PHF8,ENSG00000172943,Stim48hr,10,55,314,11,56,315,0,1,3,314,constitutive,0.9354,"Rest,Stim8hr,Stim48hr",-3.699,IL2RA-,inhibit; constitutive
MIA2,ENSG00000150527,Stim48hr,52,18,1565,53,19,1566,0,0,9,1565,constitutive,0.9351,"Rest,Stim8hr,Stim48hr",-2.07,GATA3-,inhibit; constitutive
MBIP,ENSG00000151332,Stim48hr,10,85,307,11,86,308,0,1,2,307,constitutive,0.934,"Rest,Stim8hr,Stim48hr",3.019,CCL4+,inhibit; constitutive
ENTR1,ENSG00000165689,Stim48hr,11,22,328,12,23,329,0,1,4,328,constitutive,0.9324,"Rest,Stim8hr,Stim48hr",3.223,HAVCR2+,inhibit; constitutive
NSUN4,ENSG00000117481,Stim48hr,36,108,1025,37,109,1026,1,3,5,1025,constitutive,0.9313,"Rest,Stim8hr,Stim48hr",0.112,STAT3+,inhibit; constitutive
AMD1,ENSG00000123505,Stim48hr,15,193,427,16,194,428,0,1,2,427,constitutive,0.93,"Rest,Stim8hr,Stim48hr",4.175,STAT1-,inhibit; constitutive
TNRC6A,ENSG00000090905,Stim48hr,56,44,1546,57,45,1547,0,0,17,1546,constitutive,0.9295,"Rest,Stim8hr,Stim48hr",-0.693,IL5-,inhibit; constitutive
RRAGC,ENSG00000116954,Stim48hr,48,87,1318,49,88,1319,0,0,9,1318,constitutive,0.929,"Rest,Stim8hr,Stim48hr",0.959,HAVCR2+,inhibit; constitutive
AIFM1,ENSG00000156709,Stim48hr,37,57,997,38,58,998,0,0,10,997,constitutive,0.9275,"Rest,Stim8hr,Stim48hr",1.019,STAT3+,inhibit; constitutive
LAMTOR4,ENSG00000188186,Stim48hr,26,333,683,27,334,684,0,2,9,683,constitutive,0.9254,"Rest,Stim8hr,Stim48hr",-0.926,ENTPD1+,inhibit; constitutive
MAX,ENSG00000125952,Stim8hr,89,2222,100,90,2223,101,1,9,4,2222,constitutive,0.9226,"Rest,Stim8hr,Stim48hr",2.219,RORC+,inhibit; constitutive
LRRC8A,ENSG00000136802,Stim48hr,18,10,447,19,11,448,0,0,1,447,constitutive,0.9206,"Rest,Stim8hr,Stim48hr",2.938,TIGIT+,inhibit; constitutive
DPH6,ENSG00000134146,Stim48hr,31,156,717,32,157,718,0,3,9,717,constitutive,0.9159,"Rest,Stim8hr,Stim48hr",1.957,CD69+,inhibit; constitutive
VARS2,ENSG00000137411,Stim48hr,53,783,1146,54,784,1147,0,6,19,1146,constitutive,0.9108,"Rest,Stim8hr,Stim48hr",-1.886,STAT3+,inhibit; constitutive
MBTPS1,ENSG00000140943,Stim48hr,60,279,1270,61,280,1271,1,1,10,1270,constitutive,0.9091,"Rest,Stim8hr,Stim48hr",-1.677,CCL5+,inhibit; constitutive
TMEM140,ENSG00000146859,Stim48hr,11,10,229,12,11,230,0,0,1,229,constitutive,0.9046,"Rest,Stim8hr,Stim48hr",3.009,MKI67+,inhibit; constitutive
SLC25A26,ENSG00000144741,Stim48hr,11,82,202,12,83,203,0,0,2,202,constitutive,0.8925,"Rest,Stim8hr,Stim48hr",3.65,CD69+,inhibit; constitutive
COX15,ENSG00000014919,Stim48hr,14,97,246,15,98,247,1,0,2,246,constitutive,0.8889,"Rest,Stim8hr,Stim48hr",,,inhibit; constitutive
PMVK,ENSG00000163344,Stim48hr,209,87,3527,210,88,3528,0,2,29,3527,constitutive,0.8879,"Rest,Stim8hr,Stim48hr",-2.562,IL2RA-,inhibit; constitutive
WARS2,ENSG00000116874,Stim48hr,58,67,938,59,68,939,0,0,12,938,constitutive,0.8826,"Rest,Stim8hr,Stim48hr",-0.857,STAT3+,inhibit; constitutive
TMEM126B,ENSG00000171204,Stim48hr,27,49,440,28,50,441,0,2,16,440,constitutive,0.8825,"Rest,Stim8hr,Stim48hr",-2.692,CSF2-,inhibit; constitutive
WAS,ENSG00000015285,Stim8hr,32,494,43,33,495,44,1,4,1,494,constitutive,0.8767,"Rest,Stim8hr,Stim48hr",-1.25,LTA-,inhibit; constitutive
MED13,ENSG00000108510,Stim48hr,42,219,628,43,220,629,1,4,11,628,constitutive,0.8733,"Rest,Stim8hr,Stim48hr",-3.403,IL3-,inhibit; constitutive
MIPEP,ENSG00000027001,Stim48hr,151,413,2143,152,414,2144,0,0,11,2143,constitutive,0.868,"Rest,Stim8hr,Stim48hr",-1.315,STAT3+,inhibit; constitutive
PTCD2,ENSG00000049883,Stim48hr,49,42,699,50,43,700,1,0,8,699,constitutive,0.8678,"Rest,Stim8hr,Stim48hr",-1.482,BCL6+,inhibit; constitutive
ACTR2,ENSG00000138071,Stim48hr,76,582,1048,77,583,1049,3,8,6,1048,constitutive,0.864,"Rest,Stim8hr,Stim48hr",1.744,STAT3+,inhibit; constitutive
EMC3,ENSG00000125037,Stim48hr,11,53,156,12,54,157,0,0,1,156,constitutive,0.8631,"Rest,Stim8hr,Stim48hr",,,inhibit; constitutive
SFXN1,ENSG00000164466,Stim48hr,52,178,712,53,179,713,4,6,2,712,constitutive,0.8627,"Rest,Stim8hr,Stim48hr",3.128,TIGIT+,inhibit; constitutive
SNRPB2,ENSG00000125870,Stim8hr,11,153,47,12,154,48,0,1,2,153,constitutive,0.8606,"Rest,Stim8hr,Stim48hr",4.104,IL17F+,inhibit; constitutive
ZNF641,ENSG00000167528,Stim48hr,57,95,765,58,96,766,1,2,6,765,constitutive,0.8603,"Rest,Stim8hr,Stim48hr",0.01,TIGIT+,inhibit; constitutive
BAHD1,ENSG00000140320,Stim48hr,30,95,392,31,96,393,1,0,3,392,constitutive,0.8558,"Rest,Stim8hr,Stim48hr",-4.471,CD69-,inhibit; constitutive
SPTSSA,ENSG00000165389,Stim48hr,19,102,249,20,103,250,0,3,0,249,constitutive,0.855,"Rest,Stim8hr,Stim48hr",1.658,CD69+,inhibit; constitutive
COA7,ENSG00000162377,Stim48hr,42,199,543,43,200,544,0,1,5,543,constitutive,0.8549,"Rest,Stim8hr,Stim48hr",0.332,BCL6+,inhibit; constitutive
ATF4,ENSG00000128272,Stim8hr,85,1061,392,86,1062,393,1,12,4,1061,constitutive,0.8509,"Rest,Stim8hr,Stim48hr",2.779,CD69+,inhibit; constitutive
PDSS1,ENSG00000148459,Stim8hr,31,384,112,32,385,113,0,1,2,384,constitutive,0.8486,"Rest,Stim8hr,Stim48hr",-4.283,IL5-,inhibit; constitutive
GLS,ENSG00000115419,Stim8hr,27,319,77,28,320,78,0,3,1,319,constitutive,0.8415,"Rest,Stim8hr,Stim48hr",-2.993,BCL6+,inhibit; constitutive
CBX5,ENSG00000094916,Stim48hr,48,232,561,49,233,562,0,2,3,561,constitutive,0.841,"Rest,Stim8hr,Stim48hr",-3.189,IL5-,inhibit; constitutive
DNTTIP1,ENSG00000101457,Stim8hr,236,2724,1903,237,2725,1904,5,17,17,2724,constitutive,0.8403,"Rest,Stim8hr,Stim48hr",2.766,STAT3-,inhibit; constitutive
PDCD10,ENSG00000114209,Stim48hr,26,139,297,27,140,298,0,1,5,297,constitutive,0.8364,"Rest,Stim8hr,Stim48hr",-3.151,STAT6+,inhibit; constitutive
SLTM,ENSG00000137776,Stim48hr,31,31,342,32,32,343,1,0,3,342,constitutive,0.8316,"Rest,Stim8hr,Stim48hr",-2.855,FOXP3-,inhibit; constitutive
RBM5,ENSG00000003756,Stim48hr,28,167,306,29,168,307,0,1,0,306,constitutive,0.8299,"Rest,Stim8hr,Stim48hr",,,inhibit; constitutive
PGAM1,ENSG00000171314,Stim8hr,16,171,59,17,172,60,1,5,2,171,constitutive,0.8245,"Rest,Stim8hr,Stim48hr",-4.775,CD40LG-,inhibit; constitutive
TBX21,ENSG00000073861,Stim48hr,39,307,402,40,308,403,4,17,14,402,constitutive,0.8213,"Rest,Stim8hr,Stim48hr",-2.009,CXCR3-,inhibit; constitutive
SLC4A7,ENSG00000033867,Stim48hr,14,45,147,15,46,148,0,0,2,147,constitutive,0.821,"Rest,Stim8hr,Stim48hr",3.165,IKZF1-,inhibit; constitutive
ALG8,ENSG00000159063,Stim48hr,81,549,806,82,550,807,0,5,4,806,constitutive,0.8164,"Rest,Stim8hr,Stim48hr",3.351,TNFRSF18+,inhibit; constitutive
EMC4,ENSG00000128463,Stim48hr,60,38,595,61,39,596,1,0,11,595,constitutive,0.8155,"Rest,Stim8hr,Stim48hr",2.272,IL21+,inhibit; constitutive
HNRNPD,ENSG00000138668,Stim48hr,65,164,641,66,165,642,0,0,3,641,constitutive,0.8147,"Rest,Stim8hr,Stim48hr",-3.822,IL2RA-,inhibit; constitutive
NDUFS8,ENSG00000110717,Stim48hr,90,71,882,91,72,883,1,0,10,882,constitutive,0.814,"Rest,Stim8hr,Stim48hr",-0.913,IL5-,inhibit; constitutive
RASAL3,ENSG00000105122,Stim48hr,101,10,985,102,11,986,2,1,3,985,constitutive,0.8132,"Rest,Stim8hr,Stim48hr",3.54,CD69+,inhibit; constitutive
PNPT1,ENSG00000138035,Stim8hr,130,1237,1068,131,1238,1069,5,11,12,1237,constitutive,0.8092,"Rest,Stim8hr,Stim48hr",-0.691,BCL6+,inhibit; constitutive
MPI,ENSG00000178802,Stim8hr,243,2294,146,244,2295,147,3,23,3,2294,constitutive,0.8081,"Rest,Stim8hr,Stim48hr",-3.588,IL2RA-,inhibit; constitutive
MAPK14,ENSG00000112062,Stim48hr,11,19,105,12,20,106,0,0,0,105,constitutive,0.8034,"Rest,Stim8hr,Stim48hr",,,inhibit; constitutive
MCM8,ENSG00000125885,Stim48hr,39,216,355,40,217,356,0,2,6,355,constitutive,0.8,"Rest,Stim8hr,Stim48hr",-1.978,IL5-,inhibit; constitutive
ATP5F1A,ENSG00000152234,Stim48hr,113,96,1020,114,97,1021,6,1,8,1020,constitutive,0.7998,"Rest,Stim8hr,Stim48hr",-0.851,IL21-,inhibit; constitutive
SZRD1,ENSG00000055070,Stim48hr,35,87,318,36,88,319,0,2,4,318,constitutive,0.7994,"Rest,Stim8hr,Stim48hr",-0.974,CD69+,inhibit; constitutive
FAM20B,ENSG00000116199,Stim8hr,21,188,13,22,189,14,0,7,0,188,constitutive,0.7952,"Rest,Stim8hr,Stim48hr",-4.567,IL3-,inhibit; constitutive
TENT2,ENSG00000164329,Stim8hr,155,1357,60,156,1358,61,4,4,0,1357,constitutive,0.7944,"Rest,Stim8hr,Stim48hr",3.231,LAG3+,inhibit; constitutive
TFAM,ENSG00000108064,Stim48hr,340,817,2960,341,818,2961,1,5,14,2960,constitutive,0.7937,"Rest,Stim8hr,Stim48hr",-0.779,STAT3+,inhibit; constitutive
EARS2,ENSG00000103356,Stim48hr,49,276,407,50,277,408,1,3,2,407,constitutive,0.7834,"Rest,Stim8hr,Stim48hr",-0.242,IL10-,inhibit; constitutive
PCBP1,ENSG00000169564,Stim8hr,75,615,475,76,616,476,0,7,5,615,constitutive,0.7815,"Rest,Stim8hr,Stim48hr",-3.715,HAVCR2-,inhibit; constitutive
RNASEH1,ENSG00000171865,Stim48hr,77,11,627,78,12,628,0,0,7,627,constitutive,0.7801,"Rest,Stim8hr,Stim48hr",0.117,STAT3+,inhibit; constitutive
LMTK2,ENSG00000164715,Stim8hr,75,599,23,76,600,24,3,5,2,599,constitutive,0.7763,"Rest,Stim8hr,Stim48hr",2.907,CCL4+,inhibit; constitutive
LCK,ENSG00000182866,Stim8hr,308,2413,915,309,2414,916,4,19,13,2413,constitutive,0.7733,"Rest,Stim8hr,Stim48hr",-1.39,STAT1+,inhibit; constitutive
GPI,ENSG00000105220,Stim48hr,228,954,1779,229,955,1780,1,9,15,1779,constitutive,0.7724,"Rest,Stim8hr,Stim48hr",-2.23,CCL4-,inhibit; constitutive
NDUFA8,ENSG00000119421,Stim48hr,135,16,1037,136,17,1038,2,0,6,1037,constitutive,0.769,"Rest,Stim8hr,Stim48hr",1.112,CD69+,inhibit; constitutive
SMARCA4,ENSG00000127616,Stim48hr,39,164,300,40,165,301,0,3,9,300,constitutive,0.7676,"Rest,Stim8hr,Stim48hr",-3.949,IL13-,inhibit; constitutive
CRLS1,ENSG00000088766,Stim48hr,110,49,834,111,50,835,1,0,9,834,constitutive,0.7661,"Rest,Stim8hr,Stim48hr",-1.066,IL2-,inhibit; constitutive
CYC1,ENSG00000179091,Stim8hr,65,481,277,66,482,278,0,8,4,481,constitutive,0.7605,"Rest,Stim8hr,Stim48hr",0.795,CD69+,inhibit; constitutive
ATP5MF,ENSG00000241468,Stim48hr,95,11,688,96,12,689,1,1,8,688,constitutive,0.7564,"Rest,Stim8hr,Stim48hr",0.859,CD69+,inhibit; constitutive
CD274,ENSG00000120217,Stim8hr,23,166,101,24,167,102,0,0,0,166,constitutive,0.7526,"Rest,Stim8hr,Stim48hr",,,inhibit; constitutive
CAMSAP1,ENSG00000130559,Stim8hr,124,862,517,125,863,518,1,12,7,862,constitutive,0.7477,"Rest,Stim8hr,Stim48hr",-3.056,MYC-,inhibit; constitutive
MED23,ENSG00000112282,Stim8hr,146,1011,366,147,1012,367,2,12,8,1011,constitutive,0.747,"Rest,Stim8hr,Stim48hr",-0.205,GATA3+,inhibit; constitutive
CNOT4,ENSG00000080802,Stim48hr,142,504,957,143,505,958,0,5,12,957,constitutive,0.7409,"Rest,Stim8hr,Stim48hr",-1.554,CD40LG-,inhibit; constitutive
PARS2,ENSG00000162396,Stim8hr,97,650,547,98,651,548,0,8,9,650,constitutive,0.7393,"Rest,Stim8hr,Stim48hr",-0.655,IL13-,inhibit; constitutive
FLAD1,ENSG00000160688,Stim48hr,60,267,402,61,268,403,1,3,3,402,constitutive,0.7387,"Rest,Stim8hr,Stim48hr",-3.539,IL5-,inhibit; constitutive
ACTR3,ENSG00000115091,Stim8hr,31,208,116,32,209,117,0,2,0,208,constitutive,0.7375,"Rest,Stim8hr,Stim48hr",,,inhibit; constitutive
CYB5R4,ENSG00000065615,Stim8hr,257,1674,1027,258,1675,1028,4,23,8,1674,constitutive,0.7334,"Rest,Stim8hr,Stim48hr",-2.73,TBX21-,inhibit; constitutive
KAT6A,ENSG00000083168,Stim8hr,78,505,142,79,506,143,0,5,2,505,constitutive,0.7312,"Rest,Stim8hr,Stim48hr",0.145,STAT3+,inhibit; constitutive
