gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
IKZF1,ENSG00000185811,Rest,-0.4473,0.2626,-0.0223,-1.0916,-0.0566,-0.71,1.0226,-0.9718,2.5947,2.5947,Effector_vs_Treg,→Effector,boost-immunity,1,-9.8826,26
PPIH,ENSG00000171960,Stim8hr,0.4913,0.1729,0.2042,-1.0794,-0.1864,0.3185,1.3689,0.2201,2.592,2.592,Effector_vs_Treg,→Effector,boost-immunity,3,-4.9729,876
INTS10,ENSG00000104613,Stim48hr,0.1884,0.015,-0.348,-1.5008,0.1756,0.1734,1.4526,0.1787,2.591,2.591,Effector_vs_Treg,→Effector,boost-immunity,7,-15.5929,2075
USP1,ENSG00000162607,Stim8hr,-1.3779,0.4522,-0.6199,-0.3523,-0.794,-1.8301,-0.1628,-2.5865,-0.264,2.5865,Th1_vs_Th2,→Th2,skew-Th2,0,-13.9969,4
CYCS,ENSG00000172115,Stim8hr,0.8994,-1.2285,-0.438,-0.4873,0.4243,2.1279,0.2316,2.5836,0.4715,2.5836,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-13.4664,50
TAF6L,ENSG00000162227,Stim48hr,-0.4088,-0.6194,0.9021,-1.4902,-0.9449,0.2106,1.4482,0.2337,2.5834,2.5834,Effector_vs_Treg,→Effector,boost-immunity,17,-5.3187,3485
LDB1,ENSG00000198728,Stim8hr,0.6047,-1.5215,-0.3964,0.0048,-0.3779,2.1262,-0.4425,2.5813,-0.7855,2.5813,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-14.0396,2
TSC1,ENSG00000165699,Stim48hr,-1.0808,-0.0769,-0.3975,-1.9649,-0.3546,-1.0039,1.4465,-1.5653,2.5804,2.5804,Effector_vs_Treg,→Effector,boost-immunity,8,-7.011,1198
NRAS,ENSG00000213281,Stim8hr,1.0769,-1.0484,0.2261,-0.086,-0.6119,2.1253,0.1709,2.5801,0.3582,2.5801,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-34.8775,374
TM2D3,ENSG00000184277,Stim8hr,0.4482,-0.3471,-0.306,1.3351,-0.4957,0.7953,-1.4034,0.843,-2.5771,2.5771,Effector_vs_Treg,→Treg,suppress-inflammation,0,-13.3276,0
WRN,ENSG00000165392,Rest,1.251,-0.6344,0.3637,-0.0707,-0.3264,1.8854,0.3975,2.5738,1.0335,2.5738,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-16.165,57
PCBP1,ENSG00000169564,Stim48hr,0.0951,-1.6951,0.786,-1.0118,0.7754,1.7902,0.7404,2.5736,1.3562,2.5736,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-11.1907,475
TRIP12,ENSG00000153827,Stim8hr,0.0589,-2.0611,-0.1323,-0.8328,0.6034,2.12,0.1213,2.5733,0.2657,2.5733,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),6,-41.7513,1829
CCDC6,ENSG00000108091,Stim8hr,0.3798,1.1468,0.2095,1.9799,1.5251,-0.767,-1.4012,-1.1978,-2.573,2.573,Effector_vs_Treg,→Treg,suppress-inflammation,3,-15.4454,184
DNTTIP1,ENSG00000101457,Stim48hr,1.964,0.1749,0.62,0.1752,1.8047,1.7891,0.7444,2.5719,1.3631,2.5719,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),9,-19.8774,1903
APMAP,ENSG00000101474,Stim8hr,-0.2084,-0.414,-0.9136,0.887,-0.3576,0.2056,-1.399,0.0726,-2.569,2.569,Effector_vs_Treg,→Treg,suppress-inflammation,1,-19.291,39
KHDRBS1,ENSG00000121774,Stim48hr,0.76,-0.3385,2.056,-0.6139,0.3667,1.0985,1.4397,1.5489,2.5686,2.5686,Effector_vs_Treg,→Effector,boost-immunity,1,-10.2715,163
ALG13,ENSG00000101901,Stim8hr,0.4092,-0.7964,0.3145,-1.3806,-0.1349,1.2056,1.3563,1.3789,2.5685,2.5685,Effector_vs_Treg,→Effector,boost-immunity,4,-10.0386,185
EMC3,ENSG00000125037,Stim48hr,0.7939,-0.9916,0.2196,-0.1204,0.9716,1.7855,0.1277,2.5666,0.2939,2.5666,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-8.9371,156
RGL2,ENSG00000237441,Stim48hr,0.7819,-1.0008,-0.0384,0.4168,0.2951,1.7826,-0.5025,2.5623,-0.7989,2.5623,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-5.7741,4
CTPS2,ENSG00000047230,Rest,-0.1664,-0.01,-0.4528,0.8324,0.4657,-0.1564,-1.0422,-0.2156,-2.5622,2.5622,Effector_vs_Treg,→Treg,suppress-inflammation,0,-5.7819,1
CARM1,ENSG00000142453,Rest,-0.2888,1.5842,-0.5134,0.5109,-0.4547,-1.873,-0.2502,-2.5607,-0.5841,2.5607,Th1_vs_Th2,→Th2,skew-Th2,2,-18.2468,107
HSPBP1,ENSG00000133265,Stim48hr,0.2357,-0.0557,-0.1891,-1.4376,0.2771,0.2914,1.4345,0.3534,2.5596,2.5596,Effector_vs_Treg,→Effector,boost-immunity,0,-8.8117,6
PAXIP1,ENSG00000157212,Stim48hr,-1.5808,-0.3014,0.8205,-1.7858,0.2827,-1.2794,1.4319,-1.9734,2.5551,2.5551,Effector_vs_Treg,→Effector,boost-immunity,6,-15.2162,1240
CTLA4,ENSG00000163599,Stim8hr,-0.0501,-0.4168,-0.6078,-1.7072,-0.6984,0.3666,1.349,0.283,2.5549,2.5549,Effector_vs_Treg,→Effector,boost-immunity,1,-9.6966,0
SLC4A7,ENSG00000033867,Stim48hr,0.7433,-0.4991,0.7701,-1.0924,0.582,1.2425,1.4306,1.7622,2.5528,2.5528,Effector_vs_Treg,→Effector,boost-immunity,1,-27.5775,147
WDR48,ENSG00000114742,Stim8hr,-0.2523,-0.4909,-0.6739,0.9178,-0.9063,0.2385,-1.3901,0.1157,-2.5524,2.5524,Effector_vs_Treg,→Treg,suppress-inflammation,1,-7.3301,66
HDAC2,ENSG00000196591,Stim8hr,0.6656,-0.4339,-0.5476,-1.4518,0.2643,1.0994,1.3465,1.2402,2.5501,2.5501,Effector_vs_Treg,→Effector,boost-immunity,0,-20.2582,2
ZDHHC17,ENSG00000186908,Rest,1.0979,-0.7701,0.7555,0.0806,0.139,1.868,0.2805,2.5501,0.7414,2.5501,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-15.5061,5
NLRP2,ENSG00000022556,Rest,-0.5684,0.0486,-0.1326,0.8178,0.5657,-0.6171,-1.0353,-0.8449,-2.5449,2.5449,Effector_vs_Treg,→Treg,suppress-inflammation,0,-5.7194,6
PRORP,ENSG00000100890,Rest,-0.8441,-0.7315,-0.348,0.3926,0.281,-0.1126,-1.0338,-0.1557,-2.5412,2.5412,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.0814,4
IKBKE,ENSG00000263528,Stim8hr,-0.9651,0.8284,-0.0199,-0.2893,-0.4334,-1.7935,0.2371,-2.5386,0.4817,2.5386,Th1_vs_Th2,→Th2,skew-Th2,0,-9.9095,0
NAXE,ENSG00000163382,Stim8hr,-0.8401,0.9526,-0.5045,0.5419,0.5506,-1.7927,-0.6726,-2.5376,-1.2144,2.5376,Th1_vs_Th2,→Th2,skew-Th2,0,-21.3631,2
CCDC43,ENSG00000180329,Stim48hr,0.2041,0.1609,0.6271,-1.0902,0.533,0.0432,1.4209,-0.0142,2.5361,2.5361,Effector_vs_Treg,→Effector,boost-immunity,0,-13.2089,1
ACAP1,ENSG00000072818,Stim8hr,1.2814,-0.2839,0.5909,-0.8091,0.9796,1.5653,1.3386,1.8487,2.5355,2.5355,Effector_vs_Treg,→Effector,boost-immunity,1,-15.3569,2
FAM13B,ENSG00000031003,Stim48hr,-1.4766,0.182,-0.3972,0.3974,-0.4164,-1.6586,-0.9614,-2.535,-1.5944,2.535,Th1_vs_Th2,→Th2,skew-Th2,0,-4.4515,4
PPP1R13B,ENSG00000088808,Stim8hr,-1.3127,0.4775,-0.315,0.0507,-0.3711,-1.7902,-0.4341,-2.5343,-0.7697,2.5343,Th1_vs_Th2,→Th2,skew-Th2,0,-4.8314,1
VARS2,ENSG00000137411,Stim8hr,0.9603,-1.1296,0.3671,-0.0746,0.1106,2.09,0.1405,2.534,0.3016,2.534,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),6,-9.7363,783
STK32C,ENSG00000165752,Stim48hr,0.8373,-0.9256,0.8601,-0.3494,-0.6113,1.763,0.6067,2.5332,1.1244,2.5332,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-4.1527,16
IL10RB,ENSG00000243646,Stim48hr,-0.7979,0.8594,-0.8842,-0.3331,-0.8059,-1.6573,0.0589,-2.5331,0.1745,2.5331,Th1_vs_Th2,→Th2,skew-Th2,0,-15.271,3
KRR1,ENSG00000111615,Stim8hr,0.8314,-1.2576,-0.2476,-0.5931,0.1176,2.0891,0.3685,2.5329,0.7267,2.5329,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-8.4236,145
SOCS3,ENSG00000184557,Stim8hr,0.7462,-1.3421,-0.2572,-1.5397,0.4053,2.0883,1.2553,2.5319,2.3801,2.5319,Th1_vs_Th2,→Th1; →Effector,boost-immunity,2,-6.4408,161
HRAS,ENSG00000174775,Stim48hr,-1.2296,0.4242,-0.08,-0.1666,-0.2304,-1.6538,-0.1285,-2.528,-0.1504,2.528,Th1_vs_Th2,→Th2,skew-Th2,1,-9.1353,139
PHKA1,ENSG00000067177,Stim8hr,-1.1737,0.6115,0.0445,-0.1914,-0.746,-1.7852,0.0189,-2.5277,0.0748,2.5277,Th1_vs_Th2,→Th2,skew-Th2,0,-5.709,0
PCGF6,ENSG00000156374,Stim8hr,0.5939,0.0388,0.373,-0.9992,1.0041,0.5551,1.3344,0.5292,2.5277,2.5277,Effector_vs_Treg,→Effector,boost-immunity,2,-9.3093,53
STARD4,ENSG00000164211,Stim48hr,0.6649,-1.0939,0.2328,-0.229,-0.0236,1.7588,0.1636,2.527,0.3561,2.527,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-20.0634,12
AP1M1,ENSG00000072958,Stim8hr,0.6486,0.1071,0.8969,-0.7824,0.2606,0.5414,1.3333,0.5113,2.5256,2.5256,Effector_vs_Treg,→Effector,boost-immunity,0,-13.0507,10
ZNF600,ENSG00000189190,Rest,0.2063,0.5716,0.1606,-0.682,0.4013,-0.3653,0.9949,-0.5009,2.5255,2.5255,Effector_vs_Treg,→Effector,boost-immunity,0,-6.2267,10
ALS2,ENSG00000003393,Rest,0.3276,-0.1659,-0.0543,1.0618,0.2446,0.4934,-1.026,0.6722,-2.5217,2.5217,Effector_vs_Treg,→Treg,suppress-inflammation,0,-5.4881,101
ACTR2,ENSG00000138071,Stim48hr,-0.0668,0.06,0.8285,-1.1372,0.2816,-0.1268,1.4111,-0.2661,2.5191,2.5191,Effector_vs_Treg,→Effector,boost-immunity,4,-17.5462,1048
CD99L2,ENSG00000102181,Stim48hr,-0.462,1.1848,-0.6228,-0.185,-0.0063,-1.6468,0.2183,-2.5176,0.451,2.5176,Th1_vs_Th2,→Th2,skew-Th2,0,-7.206,112
ATP2A3,ENSG00000074370,Stim48hr,-1.176,0.47,0.1252,-0.2264,0.3247,-1.646,0.0329,-2.5164,0.1294,2.5164,Th1_vs_Th2,→Th2,skew-Th2,0,-16.2504,4
TMEM126B,ENSG00000171204,Stim48hr,-1.4321,-1.0039,-0.7134,0.4412,-0.1871,-0.4282,-1.491,-0.7126,-2.5127,2.5127,Effector_vs_Treg,→Treg,suppress-inflammation,10,-21.2644,440
ZBTB45,ENSG00000119574,Stim48hr,1.0221,-0.727,-0.0521,0.7973,-0.5333,1.7491,-0.7163,2.5127,-1.1696,2.5127,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-10.0932,25
URM1,ENSG00000167118,Stim8hr,0.4269,-1.6466,-0.6788,-0.2352,0.2119,2.0735,-0.3976,2.5125,-0.7018,2.5125,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-12.2303,437
PPRC1,ENSG00000148840,Stim8hr,1.3732,-0.7001,-0.7439,0.3279,0.224,2.0733,-0.3515,2.5123,-0.6158,2.5123,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-9.9044,39
KLHL24,ENSG00000114796,Stim48hr,0.6237,-1.1238,-0.6748,-0.9444,-0.5086,1.7474,0.5528,2.5101,1.0309,2.5101,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-6.5524,2
DHRS7,ENSG00000100612,Rest,0.0799,0.7261,0.2842,-0.6237,-0.1971,-0.6462,0.9871,-0.8847,2.5061,2.5061,Effector_vs_Treg,→Effector,boost-immunity,0,-7.7191,40
ZNF384,ENSG00000126746,Rest,-1.1996,0.6328,-0.3834,-0.1226,-0.7374,-1.8323,-0.1942,-2.505,-0.4442,2.505,Th1_vs_Th2,→Th2,skew-Th2,0,-16.3862,72
ALG8,ENSG00000159063,Stim48hr,0.9106,-0.8321,-0.6215,0.7169,-0.2584,1.7427,-0.8979,2.5031,-1.4844,2.5031,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-12.7965,806
NSD1,ENSG00000165671,Rest,0.7042,-1.1291,-0.8846,-0.8308,-1.0807,1.8333,0.3943,2.5027,1.0255,2.5027,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),10,-30.2635,1766
GLO1,ENSG00000124767,Rest,-1.3638,0.4656,-0.37,0.2663,-0.5164,-1.8294,-0.6891,-2.5011,-1.6802,2.5011,Th1_vs_Th2,→Th2,skew-Th2,0,-16.1528,0
ARHGEF6,ENSG00000129675,Rest,0.1108,-0.8719,0.0598,-1.2188,-0.3339,0.9827,0.985,1.3405,2.5009,2.5009,Effector_vs_Treg,→Effector,boost-immunity,0,-31.9617,1
PDK3,ENSG00000067992,Rest,-0.0238,1.8041,-0.8761,-0.4433,-0.7733,-1.8279,0.7447,-2.499,1.9008,2.499,Th1_vs_Th2,→Th2,skew-Th2,2,-11.2875,7
TEP1,ENSG00000129566,Stim8hr,0.0766,-0.0293,-0.6638,-1.524,0.4584,0.1058,1.3185,-0.0577,2.498,2.498,Effector_vs_Treg,→Effector,boost-immunity,4,-5.9459,191
CTNNBIP1,ENSG00000178585,Rest,-1.2013,-0.1411,-0.287,0.4733,-0.4516,-1.0602,-1.0165,-1.4503,-2.498,2.498,Effector_vs_Treg,→Treg,suppress-inflammation,0,-7.0349,1
BHLHE40,ENSG00000134107,Stim48hr,-1.1658,-2.905,-0.1885,-0.3637,-0.3409,1.7392,-1.0561,2.498,-1.7586,2.498,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),16,-13.0682,1686
MIER2,ENSG00000105556,Stim8hr,-0.1607,0.368,-0.8775,1.1373,-0.4327,-0.5287,-1.3607,-0.8865,-2.4975,2.4975,Effector_vs_Treg,→Treg,suppress-inflammation,0,-8.3106,4
NDST2,ENSG00000166507,Rest,-0.3676,0.5016,-0.2901,-1.0354,-0.1146,-0.8692,0.9834,-1.1893,2.497,2.497,Effector_vs_Treg,→Effector,boost-immunity,1,-3.0029,157
ZNF398,ENSG00000197024,Stim8hr,-0.5032,0.851,-1.4364,0.9971,-0.4741,-1.3542,-1.36,-1.9648,-2.4962,2.4962,Effector_vs_Treg,→Treg,suppress-inflammation,0,-10.6401,4
IL12RB2,ENSG00000081985,Stim48hr,-1.3433,0.2883,2.0194,1.3532,-0.5983,-1.6316,-1.0318,-2.4951,-1.7165,2.4951,Th1_vs_Th2,→Th2,skew-Th2,5,-18.3128,159
NIPA2,ENSG00000140157,Stim8hr,-0.6652,1.0949,-0.5316,-0.0043,-0.149,-1.7601,-0.0297,-2.495,-0.0157,2.495,Th1_vs_Th2,→Th2,skew-Th2,0,-24.2097,2
CUL5,ENSG00000166266,Rest,0.4473,0.3621,0.0514,-0.6954,-0.0691,0.0852,0.9824,0.1145,2.4944,2.4944,Effector_vs_Treg,→Effector,boost-immunity,0,-9.7181,0
TUT7,ENSG00000083223,Stim8hr,0.8809,-1.1786,-0.5745,-1.0287,-0.4313,2.0595,0.7379,2.4943,1.4155,2.4943,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-12.2512,5
DDIT4,ENSG00000168209,Rest,-0.5193,0.229,-0.3465,-1.1943,-0.0286,-0.7483,0.9821,-1.0242,2.4935,2.4935,Effector_vs_Treg,→Effector,boost-immunity,0,-7.3122,3
PDCD2L,ENSG00000126249,Rest,1.7844,-0.0415,0.7761,1.0297,0.8466,1.8259,-0.19,2.4926,-0.4337,2.4926,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-7.9704,1045
ACTR8,ENSG00000113812,Stim48hr,0.347,-1.3874,-0.1119,-0.3799,0.043,1.7344,-0.0042,2.4908,0.0652,2.4908,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),9,-4.6909,637
HMGB3,ENSG00000029993,Stim48hr,-0.1474,0.1907,0.075,-1.3547,0.4947,-0.3382,1.3941,-0.5792,2.4895,2.4895,Effector_vs_Treg,→Effector,boost-immunity,0,-4.0328,53
PFDN4,ENSG00000101132,Stim48hr,-1.2031,-0.6602,-0.4644,-2.1679,-1.247,-0.5429,1.392,-0.8824,2.4859,2.4859,Effector_vs_Treg,→Effector,boost-immunity,3,-9.3065,74
PRKAR1A,ENSG00000108946,Stim48hr,-0.3486,-0.0731,0.0301,1.344,-0.2936,-0.2754,-1.4745,-0.4863,-2.4841,2.4841,Effector_vs_Treg,→Treg,suppress-inflammation,10,-7.7518,900
TM6SF1,ENSG00000136404,Stim48hr,0.4553,-0.2996,1.1676,-0.9492,0.4151,0.755,1.3903,1.04,2.483,2.483,Effector_vs_Treg,→Effector,boost-immunity,0,-14.9501,5
IRF8,ENSG00000140968,Stim8hr,0.7366,-1.3139,-0.1555,-1.2494,-0.2719,2.0504,1.0052,2.4824,1.9138,2.4824,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-12.2124,87
RAB1A,ENSG00000138069,Stim48hr,1.4417,-0.287,-0.7554,0.0274,-1.0233,1.7287,0.1057,2.4824,0.2556,2.4824,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-13.4771,78
BLOC1S2,ENSG00000196072,Stim48hr,-0.7178,0.9048,-0.6308,-0.1931,-0.1579,-1.6225,0.0452,-2.4817,0.1508,2.4817,Th1_vs_Th2,→Th2,skew-Th2,0,-16.319,52
IRF2,ENSG00000168310,Stim8hr,-0.1901,1.5591,-0.025,0.578,-0.4613,-1.7492,-0.13,-2.4808,-0.2028,2.4808,Th1_vs_Th2,→Th2,skew-Th2,1,-9.7478,240
ATXN7L3,ENSG00000087152,Rest,1.531,-0.2834,0.0399,0.4109,-0.505,1.8144,0.0183,2.4768,0.0864,2.4768,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-11.3601,544
JUNB,ENSG00000171223,Rest,-0.7201,0.2043,-0.174,0.778,-0.3629,-0.9244,-1.008,-1.2647,-2.4767,2.4767,Effector_vs_Treg,→Treg,suppress-inflammation,0,-12.5609,48
DPM2,ENSG00000136908,Stim8hr,-0.4177,0.0864,0.1456,-1.3686,0.5134,-0.504,1.3067,-0.8543,2.4759,2.4759,Effector_vs_Treg,→Effector,boost-immunity,0,-12.3953,57
PDCD10,ENSG00000114209,Stim48hr,-0.9091,0.5496,-0.4444,-1.6539,-0.762,-1.4587,1.3859,-2.2391,2.4754,2.4754,Effector_vs_Treg,→Th2; →Effector,boost-immunity,5,-21.4429,297
HHAT,ENSG00000054392,Rest,-0.2976,-0.0214,0.3389,1.014,-0.1487,-0.2762,-1.0074,-0.3792,-2.4752,2.4752,Effector_vs_Treg,→Treg,suppress-inflammation,0,-0.0704,157
FIGNL1,ENSG00000132436,Rest,1.3232,-0.486,0.4385,-0.1937,0.2317,1.8092,0.6189,2.4697,1.5865,2.4697,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-8.7949,538
PDSS2,ENSG00000164494,Stim48hr,0.6874,-1.0315,0.1428,1.2438,1.1946,1.7189,-1.3109,2.468,-2.2004,2.468,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,8,-3.0313,1431
SRRD,ENSG00000100104,Rest,-0.2323,-0.8112,-0.2662,0.5667,0.4257,0.5789,-1.0033,0.789,-2.465,2.465,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.6622,36
FLAD1,ENSG00000160688,Stim48hr,0.1877,-1.529,0.3942,-0.465,-0.0753,1.7167,0.1493,2.4646,0.3313,2.4646,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-4.5531,402
CLUAP1,ENSG00000103351,Stim48hr,-0.0958,-0.506,-0.1962,-1.6449,0.1797,0.4102,1.3789,0.5294,2.4632,2.4632,Effector_vs_Treg,→Effector,boost-immunity,0,-5.511,2
TNIP2,ENSG00000168884,Rest,-0.1616,1.6392,0.19,0.2084,0.5724,-1.8008,0.3475,-2.462,0.9086,2.462,Th1_vs_Th2,→Th2,skew-Th2,0,-15.1422,2
BCL9L,ENSG00000186174,Rest,0.2814,0.1364,-0.1216,-0.8706,-0.2399,0.1451,0.9693,0.1963,2.4617,2.4617,Effector_vs_Treg,→Effector,boost-immunity,0,-24.5869,17
NECTIN3,ENSG00000177707,Stim8hr,0.0592,0.4989,-0.4873,1.365,-0.0811,-0.4397,-1.3414,-0.7702,-2.4615,2.4615,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.4005,1
RTRAF,ENSG00000087302,Stim48hr,-0.3844,-0.1874,0.2833,1.3641,0.6029,-0.1971,-1.4603,-0.3702,-2.4595,2.4595,Effector_vs_Treg,→Treg,suppress-inflammation,5,-5.4005,580
DIP2A,ENSG00000160305,Stim48hr,0.1959,-1.0688,-0.5672,0.9802,0.1526,1.2646,-1.4603,1.795,-2.4594,2.4594,Effector_vs_Treg,→Treg,suppress-inflammation,0,-10.6726,3
MBD3,ENSG00000071655,Stim48hr,-0.5547,-1.7841,-0.254,0.5949,0.6537,1.2295,-1.4592,1.7429,-2.4575,2.4575,Effector_vs_Treg,→Treg,suppress-inflammation,3,-20.6203,196
HSPH1,ENSG00000120694,Rest,-0.0299,0.2214,-0.3753,0.9376,-0.095,-0.2513,-0.9988,-0.3451,-2.4539,2.4539,Effector_vs_Treg,→Treg,suppress-inflammation,1,-15.7156,45
CHTF18,ENSG00000127586,Stim48hr,-0.7258,0.8779,0.0336,0.5864,-0.1681,-1.6037,-0.5245,-2.4537,-0.837,2.4537,Th1_vs_Th2,→Th2,skew-Th2,2,-4.6476,857
LRPPRC,ENSG00000138095,Stim48hr,-0.692,-0.632,-0.1672,0.9598,0.8834,-0.06,-1.4569,-0.1671,-2.4535,2.4535,Effector_vs_Treg,→Treg,suppress-inflammation,10,-18.8372,1925
LEO1,ENSG00000166477,Rest,0.4659,1.546,0.7508,-0.045,0.971,-1.0801,0.9659,-1.4774,2.4531,2.4531,Effector_vs_Treg,→Effector,boost-immunity,8,-11.2437,3014
BCL10,ENSG00000142867,Stim8hr,0.4238,-1.6043,0.2405,0.0363,-1.9951,2.028,-0.3497,2.4531,-0.6124,2.4531,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),13,-13.1132,3455
HSF2,ENSG00000025156,Stim48hr,0.1734,-1.5344,-0.6166,0.2518,-0.7251,1.7078,-0.911,2.4515,-1.507,2.4515,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-10.9207,13
RASA2,ENSG00000155903,Rest,-0.916,0.1561,-0.0116,0.7393,1.4021,-1.0721,-0.9965,-1.4665,-2.4481,2.4481,Effector_vs_Treg,→Treg,suppress-inflammation,8,-11.3285,699
RNF121,ENSG00000137522,Rest,-1.1526,0.0029,-0.7547,0.3616,-0.5894,-1.1554,-0.9964,-1.5803,-2.4478,2.4478,Effector_vs_Treg,→Treg,suppress-inflammation,0,-5.3262,0
MED12,ENSG00000184634,Stim48hr,-0.3167,-0.4035,0.4614,-1.4558,-0.9259,0.0868,1.3695,0.0504,2.4469,2.4469,Effector_vs_Treg,→Effector,boost-immunity,14,-7.7883,2045
EHMT2,ENSG00000204371,Stim8hr,-1.2779,0.4451,0.5275,0.0948,-0.879,-1.723,-0.1965,-2.4466,-0.3269,2.4466,Th1_vs_Th2,→Th2,skew-Th2,8,-21.5171,1177
GATAD2B,ENSG00000143614,Rest,-0.2171,0.2774,-0.2041,0.9479,0.1929,-0.4945,-0.9958,-0.6774,-2.4465,2.4465,Effector_vs_Treg,→Treg,suppress-inflammation,1,-13.4484,40
ADCK2,ENSG00000133597,Stim48hr,-0.1907,-0.023,-0.6055,1.1793,-0.1426,-0.1677,-1.4524,-0.3266,-2.4458,2.4458,Effector_vs_Treg,→Treg,suppress-inflammation,0,-10.2687,0
BTAF1,ENSG00000095564,Stim48hr,-1.3662,0.232,-0.4695,0.4283,-0.5807,-1.5982,-0.9629,-2.4457,-1.5971,2.4457,Th1_vs_Th2,→Th2,skew-Th2,10,-18.3151,1295
CYCS,ENSG00000172115,Stim48hr,0.0548,-1.649,-0.1885,-0.0909,0.548,1.7038,-0.5034,2.4455,-0.8003,2.4455,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-8.6374,162
CMTM6,ENSG00000091317,Stim48hr,-0.1532,0.208,-1.007,1.1342,-0.6437,-0.3612,-1.4516,-0.6133,-2.4444,2.4444,Effector_vs_Treg,→Treg,suppress-inflammation,0,-31.8869,8
SUPT20H,ENSG00000102710,Stim48hr,-0.037,-1.7392,0.3362,-1.4819,-1.5011,1.7022,1.0019,2.4432,1.8095,2.4432,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),18,-20.1737,3311
EIF4E3,ENSG00000163412,Stim8hr,0.2627,0.3271,-0.4396,-1.2383,0.065,-0.0645,1.2884,-0.2801,2.4419,2.4419,Effector_vs_Treg,→Effector,boost-immunity,0,-17.8273,0
LRP8,ENSG00000157193,Stim8hr,0.5521,-0.4234,-0.3446,-1.3599,-0.4834,0.9755,1.2879,1.0783,2.441,2.441,Effector_vs_Treg,→Effector,boost-immunity,0,-17.5905,1
PHLPP2,ENSG00000040199,Stim8hr,0.8206,-1.1981,-0.4604,0.0629,0.0949,2.0187,-0.3422,2.4409,-0.5985,2.4409,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-10.1899,33
PPP1R11,ENSG00000204619,Stim48hr,0.4131,-1.2871,0.1725,-0.4108,-0.6873,1.7002,0.1769,2.4403,0.3792,2.4403,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),6,-5.5109,632
LAMTOR5,ENSG00000134248,Rest,-0.8379,-0.4282,0.0958,0.6032,0.5683,-0.4096,-0.9934,-0.5615,-2.4402,2.4402,Effector_vs_Treg,→Treg,suppress-inflammation,1,-7.521,35
CPEB3,ENSG00000107864,Rest,1.5356,-0.2504,-0.2996,-0.3789,0.2973,1.7859,0.7074,2.4379,1.8076,2.4379,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-5.4088,9
BLOC1S2,ENSG00000196072,Stim8hr,-1.3051,0.4111,-0.0818,-0.4951,-0.442,-1.7162,0.1699,-2.4377,0.3563,2.4377,Th1_vs_Th2,→Th2,skew-Th2,2,-17.6911,44
