gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
ZBTB48,ENSG00000204859,Rest,-1.0727,-0.0214,-0.1887,0.8294,-0.1477,-1.0513,-1.257,-1.4381,-3.0988,3.0988,Effector_vs_Treg,→Treg,suppress-inflammation,1,-8.4683,32
TOMM70,ENSG00000154174,Stim8hr,-0.4706,0.4835,-0.4734,1.5292,-0.6334,-0.9541,-1.6827,-1.4421,-3.0979,3.0979,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.3709,3
MTX2,ENSG00000128654,Stim8hr,-0.5187,-0.5276,-0.5316,1.1529,-0.1107,0.009,-1.6789,-0.1842,-3.0907,3.0907,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.655,0
NCOA5,ENSG00000124160,Stim48hr,0.8447,-0.5633,0.1705,-1.5866,0.8777,1.4079,1.7372,2.0073,3.0844,3.0844,Effector_vs_Treg,→Th1; →Effector,boost-immunity,1,-4.9674,26
PPP4C,ENSG00000149923,Stim8hr,1.2418,-1.2694,0.4776,0.25,-1.3614,2.5112,-0.1,3.0842,-0.1468,3.0842,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-8.7191,171
PTPRA,ENSG00000132670,Rest,-0.5319,1.7238,0.1859,0.2004,-0.3194,-2.2556,0.2588,-3.0834,0.6871,3.0834,Th1_vs_Th2,→Th2,skew-Th2,0,-13.2847,1
IMPDH2,ENSG00000178035,Stim48hr,1.3218,-0.8116,0.0919,1.7958,0.4943,2.1334,-1.5951,3.0819,-2.6932,3.0819,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,6,-6.6815,1054
CDC25B,ENSG00000101224,Stim8hr,0.6837,0.8535,0.5471,-0.9364,0.5666,-0.1698,1.6312,-0.4178,3.0811,3.0811,Effector_vs_Treg,→Effector,boost-immunity,8,-9.7931,1207
SMG9,ENSG00000105771,Stim48hr,0.9457,-1.1756,-0.3301,-0.2732,0.3494,2.1213,0.0865,3.064,0.2224,3.064,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-10.1066,1011
NFKB2,ENSG00000077150,Rest,1.7927,-0.4494,0.6871,0.697,-0.0759,2.242,-0.0202,3.061,-0.0097,3.061,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-21.7075,442
SNAP23,ENSG00000092531,Stim8hr,1.364,-1.1294,-0.5158,-0.2154,-0.226,2.4934,0.1217,3.061,0.2666,3.061,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-11.1095,35
RNF20,ENSG00000155827,Stim48hr,0.08,-2.0384,1.4269,-0.6253,0.7107,2.1184,0.4482,3.0596,0.8495,3.0596,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),12,-4.7801,934
STK11,ENSG00000118046,Stim8hr,1.3284,-1.1639,0.1361,1.7379,0.1513,2.4923,-1.6377,3.0596,-3.0139,3.0596,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,9,-9.5376,1170
TNFSF10,ENSG00000121858,Rest,0.1346,-0.1465,-0.1117,-1.2494,0.6577,0.2811,1.2082,0.3821,3.0584,3.0584,Effector_vs_Treg,→Effector,boost-immunity,0,-14.0558,0
TNPO1,ENSG00000083312,Rest,0.7881,0.1126,0.5324,-0.7261,0.4807,0.6755,1.2038,0.9209,3.0474,3.0474,Effector_vs_Treg,→Effector,boost-immunity,3,-4.4447,710
PIGK,ENSG00000142892,Rest,0.9293,-1.2996,-0.1496,0.3417,-0.5556,2.229,-0.515,3.0432,-1.2454,3.0432,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-14.1343,0
IFI30,ENSG00000216490,Rest,-0.2486,1.9746,-0.386,-0.2644,0.0609,-2.2232,0.7111,-3.039,1.8169,3.039,Th1_vs_Th2,→Th2,skew-Th2,2,-16.346,58
CSNK2A1,ENSG00000101266,Stim48hr,-0.2053,-0.261,-0.4679,-2.0189,-0.678,0.0557,1.7075,0.0042,3.0329,3.0329,Effector_vs_Treg,→Effector,boost-immunity,3,-8.9959,292
PUS7,ENSG00000091127,Stim8hr,0.556,0.2911,0.4639,-1.1674,0.4871,0.2649,1.6044,0.1501,3.0312,3.0312,Effector_vs_Treg,→Effector,boost-immunity,0,-17.9172,0
JUNB,ENSG00000171223,Stim48hr,0.1277,-0.2115,-1.0452,1.4132,-0.5364,0.3392,-1.7896,0.4241,-3.0304,3.0304,Effector_vs_Treg,→Treg,suppress-inflammation,2,-11.6384,142
PRR7,ENSG00000131188,Stim48hr,-0.7583,1.2319,-0.7331,-0.1287,-0.562,-1.9902,0.0421,-3.0263,0.1455,3.0263,Th1_vs_Th2,→Th2,skew-Th2,0,-4.7972,4
SMARCB1,ENSG00000099956,Rest,-0.8427,-0.6831,0.1957,0.7839,1.35,-0.1595,-1.2272,-0.2198,-3.0244,3.0244,Effector_vs_Treg,→Treg,suppress-inflammation,13,-9.3778,2129
MTERF2,ENSG00000120832,Rest,1.2138,-0.9988,-0.0564,0.2637,0.1099,2.2125,-0.2108,3.0207,-0.4857,3.0207,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-8.0961,59
CCDC22,ENSG00000101997,Stim48hr,-0.7216,1.2646,-0.0724,-0.0152,0.4294,-1.9862,0.1721,-3.0203,0.3709,3.0203,Th1_vs_Th2,→Th2,skew-Th2,4,-8.4434,618
ZNF43,ENSG00000198521,Stim8hr,1.234,-1.2125,0.0327,-0.7014,0.494,2.4465,0.7195,2.9997,1.3812,2.9997,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-4.6725,41
BICRA,ENSG00000063169,Stim48hr,0.2878,0.1773,-0.9321,1.615,-0.3437,0.1105,-1.7707,0.0855,-2.9976,2.9976,Effector_vs_Treg,→Treg,suppress-inflammation,1,-8.4225,17
UAP1,ENSG00000117143,Stim48hr,0.098,1.2424,0.21,-1.1703,0.4079,-1.1444,1.6871,-1.7734,2.9976,2.9976,Effector_vs_Treg,→Effector,boost-immunity,0,-13.205,2
RPRD2,ENSG00000163125,Stim8hr,0.8601,1.3811,0.2511,-0.7492,1.4951,-0.521,1.58,-0.8765,2.9856,2.9856,Effector_vs_Treg,→Effector,boost-immunity,11,-16.7282,1822
TMED9,ENSG00000184840,Stim8hr,1.3829,1.8868,0.4399,2.8569,-0.4894,-0.5039,-1.6204,-0.8541,-2.9817,2.9817,Effector_vs_Treg,→Treg,suppress-inflammation,15,-9.2321,2576
GCN1,ENSG00000089154,Rest,-0.8091,-0.533,-0.2591,0.6761,-0.1837,-0.2761,-1.2099,-0.3791,-2.981,2.981,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.0218,57
IL2RB,ENSG00000100385,Stim8hr,-1.6513,-1.5629,-0.269,-2.7357,0.293,-0.0885,1.5746,-0.3115,2.9755,2.9755,Effector_vs_Treg,→Effector,boost-immunity,9,-15.6639,227
UBE2L3,ENSG00000185651,Rest,0.4767,0.8109,0.425,1.7771,1.2139,-0.3342,-1.2063,-0.4584,-2.972,2.972,Effector_vs_Treg,→Treg,suppress-inflammation,10,-34.5989,1904
DNAJC24,ENSG00000170946,Rest,1.2684,-0.908,0.016,-0.1216,0.4226,2.1764,0.247,2.9714,0.6578,2.9714,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-7.9197,210
KHK,ENSG00000138030,Rest,-1.3908,0.1167,-0.3379,0.6667,0.1404,-1.5075,-1.204,-2.0613,-2.9663,2.9663,Effector_vs_Treg,→Th2; →Treg,suppress-inflammation,0,-5.1159,2
GALNT6,ENSG00000139629,Stim48hr,0.4952,0.4136,0.1151,2.0886,-0.0071,0.0816,-1.7472,0.0426,-2.957,2.957,Effector_vs_Treg,→Treg,suppress-inflammation,2,-6.1159,361
SCAF4,ENSG00000156304,Stim8hr,-0.9281,1.1811,-0.533,-0.2053,-0.2697,-2.1092,0.112,-2.951,0.2484,2.951,Th1_vs_Th2,→Th2,skew-Th2,1,-19.3604,234
PGGT1B,ENSG00000164219,Stim8hr,0.5176,0.1664,0.6878,-1.1039,-0.288,0.3512,1.5611,0.2628,2.9504,2.9504,Effector_vs_Treg,→Effector,boost-immunity,17,-4.2178,3013
